tile_id,plasmid_length,insert_length,lvl1_group,position,gg_ready,domestication_mutations,cds_features,gene_features,total_features,file
674,10089,7839,44,14,False,0,9,8,26,tile_674.gb
675,10150,7900,45,0,False,0,5,6,20,tile_675.gb
676,8879,6629,45,1,False,1,7,7,23,tile_676.gb
677,8281,6031,45,2,True,0,5,4,17,tile_677.gb
678,9022,6772,45,3,True,0,5,4,17,tile_678.gb
679,9257,7007,45,4,True,0,8,7,23,tile_679.gb
680,8715,6465,45,5,True,0,9,11,28,tile_680.gb
681,9992,7742,45,6,True,0,8,7,23,tile_681.gb
682,9974,7724,45,7,True,0,8,7,23,tile_682.gb
683,10131,7881,45,8,True,0,6,5,19,tile_683.gb
684,9110,6860,45,9,True,0,9,8,25,tile_684.gb
685,4372,2122,45,10,True,0,5,4,17,tile_685.gb
